,vote_link,Nombre,Status,Date,Tipo,Camara,Comision,Abstencion,Aprobado,Rechazado,Votos,bill_link,Bill_description,Autor,party_autor,tags,id,date
0,https://congresovisible.uniandes.edu.co/votaciones/13981/,"“Aprobación de los artículos 34, 38, 43 y 44 en el texto del pliego de modificaciones y el artículo 40 con las modificaciones formuladas en la Proposición número 80 y el artículo 41 con la modificación formulada en la Proposición número 79 del Proyecto... ",aprobado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,19.0,32.0,0.0,32.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",1,2018-05-29
1,https://congresovisible.uniandes.edu.co/votaciones/13976/,"“Aprobación del el articulado en el texto del pliego de modificaciones con las modificaciones formuladas en las Proposiciones números 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75 y 76 del Proyecto de Ley número 255 de 2018 Senado, 239 de... ",aprobado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,20.0,31.0,0.0,31.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",2,2018-05-29
2,https://congresovisible.uniandes.edu.co/votaciones/13977/,"“Aprobación del artículo 53 en el texto del pliego de modificaciones del Proyecto de Ley número 255 de 2018 Senado, 239 de 2018 Cámara.",aprobado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,21.0,30.0,0.0,30.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",3,2018-05-29
3,https://congresovisible.uniandes.edu.co/votaciones/13978/,"“Aprobación de los artículos 4°, 9°, 25, 26, 28, 29, 57, 59, 61, 62, 65, en el texto del Proyecto de Ley número 255 de 2018 Senado, 239 de 2018 ",aprobado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,18.0,33.0,0.0,33.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",4,2018-05-29
4,https://congresovisible.uniandes.edu.co/votaciones/13979/,"“Aprobación del artículo 12 con la modificación formulada en la Proposición número 77 del Proyecto de Ley número 255 de 2018 Senado, 239 de 2018 ",aprobado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,21.0,30.0,0.0,30.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",5,2018-05-29
5,https://congresovisible.uniandes.edu.co/votaciones/13980/,"“Aprobación del artículo 23 con la modificación formulada en la Proposición número 78 del Proyecto de Ley número 255 de 2018 Senado, 239 de 2018 ",aprobado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,21.0,30.0,0.0,30.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",6,2018-05-29
6,https://congresovisible.uniandes.edu.co/votaciones/13982/,"“Aprobación de los artículos 18, 31, 45, 52, 54, 55, 66, 67 y 68 en el texto del pliego de modificaciones del Proyecto de Ley número 255 de 2018 Senado, 239 de 2018 ",aprobado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,20.0,31.0,0.0,31.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",7,2018-05-29
7,https://congresovisible.uniandes.edu.co/votaciones/13983/,"“Aprobación de la Proposición número 81 formulada por la Senadora Paloma Valencia Laserna al artículo 46 del Proyecto de Ley 255 de 2018 Senado, 239 de 2018 ",denegado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,22.0,9.0,20.0,29.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",8,2018-05-29
8,https://congresovisible.uniandes.edu.co/votaciones/13984/,"“Aprobación del artículo 46 en el texto del pliego de modificaciones del Proyecto de Ley 255 de 2018 Senado, 239 de 2018 ",aprobado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,20.0,27.0,4.0,31.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",9,2018-05-29
9,https://congresovisible.uniandes.edu.co/votaciones/13985/,"“Aprobación de la Proposición número 82, que modifica el artículo 73 del Proyecto de Ley 255 de 2018 Senado, 239 de 2018 Cámara.",noquorum,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,21.0,26.0,4.0,30.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",10,2018-05-29
10,https://congresovisible.uniandes.edu.co/votaciones/13986/,"“Aprobación del artículo 63 en el texto del pliego de modificaciones del Proyecto de Ley 255 de 2018 Senado, 239 de 2018 ",aprobado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,22.0,29.0,0.0,29.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",11,2018-05-29
11,https://congresovisible.uniandes.edu.co/votaciones/13988/,"“Aprobación de la Proposición número 82, que modifica el artículo 73 del Proyecto de Ley 255 de 2018 Senado, 239 de 2018 ",aprobado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,21.0,28.0,2.0,30.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",12,2018-05-29
12,https://congresovisible.uniandes.edu.co/votaciones/13989/,"“Aprobación de las Proposiciones números 84, 85, 86 y 87 formuladas por la Senadora Paloma Valencia Laserna a unos artículos nuevos del Proyecto de Ley 255 de 2018 Senado, 239 de 2018 ",denegado,5/29/2018,Proyecto de Ley,Cámara de Representantes-Senado,Comisión Primera de Cámara de Representantes-Comisión Primera de Senado,19.0,10.0,22.0,32.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/9307/,Por medio de la cual se adoptan unas Reglas de Procedimiento para la Jurisdicción Especial para la Paz. [Reglas de Procedimiento para la JEP],"['Ministro del Interior, Guillermo Rivera Flórez']",NO party,"justicia especial para la paz,  implementacion",13,2018-05-29
