,Page,page_link,vote_link
0,1.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=1,https://congresovisible.uniandes.edu.co/votaciones/13981/
1,1.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=1,https://congresovisible.uniandes.edu.co/votaciones/13976/
2,1.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=1,https://congresovisible.uniandes.edu.co/votaciones/13977/
3,1.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=1,https://congresovisible.uniandes.edu.co/votaciones/13978/
4,1.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=1,https://congresovisible.uniandes.edu.co/votaciones/13979/
0,2.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=2,https://congresovisible.uniandes.edu.co/votaciones/13980/
1,2.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=2,https://congresovisible.uniandes.edu.co/votaciones/13982/
2,2.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=2,https://congresovisible.uniandes.edu.co/votaciones/13983/
3,2.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=2,https://congresovisible.uniandes.edu.co/votaciones/13984/
4,2.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=2,https://congresovisible.uniandes.edu.co/votaciones/13985/
0,3.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=3,https://congresovisible.uniandes.edu.co/votaciones/13986/
1,3.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=3,https://congresovisible.uniandes.edu.co/votaciones/13988/
2,3.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=3,https://congresovisible.uniandes.edu.co/votaciones/13989/
3,3.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=3,https://congresovisible.uniandes.edu.co/votaciones/13990/
4,3.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=3,https://congresovisible.uniandes.edu.co/votaciones/13991/
0,4.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=4,https://congresovisible.uniandes.edu.co/votaciones/13975/
1,4.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=4,https://congresovisible.uniandes.edu.co/votaciones/13966/
2,4.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=4,https://congresovisible.uniandes.edu.co/votaciones/13973/
3,4.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=4,https://congresovisible.uniandes.edu.co/votaciones/13974/
4,4.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=4,https://congresovisible.uniandes.edu.co/votaciones/13965/
0,5.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=5,https://congresovisible.uniandes.edu.co/votaciones/13967/
1,5.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=5,https://congresovisible.uniandes.edu.co/votaciones/13968/
2,5.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=5,https://congresovisible.uniandes.edu.co/votaciones/13969/
3,5.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=5,https://congresovisible.uniandes.edu.co/votaciones/13970/
4,5.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=5,https://congresovisible.uniandes.edu.co/votaciones/13972/
0,6.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=6,https://congresovisible.uniandes.edu.co/votaciones/13971/
1,6.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=6,https://congresovisible.uniandes.edu.co/votaciones/14257/
2,6.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=6,https://congresovisible.uniandes.edu.co/votaciones/14258/
3,6.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=6,https://congresovisible.uniandes.edu.co/votaciones/14259/
4,6.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=6,https://congresovisible.uniandes.edu.co/votaciones/14260/
0,7.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=7,https://congresovisible.uniandes.edu.co/votaciones/14256/
1,7.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=7,https://congresovisible.uniandes.edu.co/votaciones/14269/
